app_name,appstore_link_url,category,img_src_url,number_of_ratings,star_rating
Fun Race 3D,https://apps.apple.com/us/app/fun-race-3d/id1462556579?uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,Games,https://www.apple.com/autopush/us/itunes/charts/free-apps/images/2019/7/f387da9b6f83677425c9ce78ace7c04f9c9ea28abf75bc2f0b816ea1955504e9.jpg, 148.4K Ratings,4.6
aquapark.io,https://apps.apple.com/us/app/aquapark-io/id1453989822?uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,Games,https://www.apple.com/autopush/us/itunes/charts/free-apps/images/2019/7/7e7e7c2ecf5d6d12be9d4facdaa2b73c36b53a2f4dd0e44aba36e67f6a15503d.jpg, 259.1K Ratings,4.6
TikTok - Real Short Videos,https://apps.apple.com/us/app/tiktok-real-short-videos/id835599320?uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,Photo & Video,https://www.apple.com/autopush/us/itunes/charts/free-apps/images/2019/7/4052da5335c26a4ed43e1ed18a2f550d247ee04f17cc74ab6e715320c228ccc5.jpg, 1.5M Ratings,4.7
WhatsApp Messenger,https://apps.apple.com/us/app/whatsapp-messenger/id310633997?uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,Social Networking,https://www.apple.com/autopush/us/itunes/charts/free-apps/images/2019/7/fb50817e695b3f64e24fd53c580fcc8954274d03bd7465ec4352f38ad2ae3854.jpg, 5.1M Ratings,4.7
Spotify - Music and Podcasts,https://apps.apple.com/us/app/spotify-music-and-podcasts/id324684580?uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,Music,https://www.apple.com/autopush/us/itunes/charts/free-apps/images/2019/7/8b1fa517c92e30e0a8e9e72e2cc65a70da4e0e8a617b64877c5e1a9d6daa9f75.jpg, 7M Ratings,4.8
Gmail - Email by Google,https://apps.apple.com/us/app/gmail-email-by-google/id422689480?uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,Productivity,https://www.apple.com/autopush/us/itunes/charts/free-apps/images/2019/7/c78c43d70cb50dd4ad74c0159e3db819d21aa3699fe61f24d620c3f7c636a92e.jpg, 132.3K Ratings,4.4
Uber,https://apps.apple.com/us/app/uber/id368677368?uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,Travel,https://www.apple.com/autopush/us/itunes/charts/free-apps/images/2019/7/75fa2c92e042be7c157bfaadb8fe4afcca2a8ddfab7b089094e130d54529761d.jpg, 1M Ratings,4.7
Harry Potter: Wizards Unite,https://apps.apple.com/us/app/harry-potter-wizards-unite/id1452352832?uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,Games,https://www.apple.com/autopush/us/itunes/charts/free-apps/images/2019/7/8a9173ede23c7213b653af20ff36a8e9316d68e8b14d6bc63b94d0cad9858410.jpg, 96.4K Ratings,4.6
Train Taxi,https://apps.apple.com/us/app/train-taxi/id1466292431?uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,Games,https://www.apple.com/autopush/us/itunes/charts/free-apps/images/2019/7/d132c599136a0990dbc334f4f89008c0e7a6cca272b77152316621b55964c982.jpg, 30.1K Ratings,4.6
Stack Ball 3D,https://apps.apple.com/us/app/stack-ball-3d/id1456732568?uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,Games,https://www.apple.com/autopush/us/itunes/charts/free-apps/images/2019/7/606836e6e35609e53de01443d1830b07d1db4e58303da074a043df756f58afbe.jpg, 172.5K Ratings,4.7
